Site_ID,Site_Name,Conc_Name,Month,Season,Year,CH4_uM,CO2_uM,N2O_uM,Tw,Cond_uScm,pH,DO_mgL,Chla_ugL,Salinity_PSU,TSS_mgL,NO3_uM,NH4_uM,TN_uM,SRP_uM,TP_uM,DOC_uM,POC_uM,DIC_uM,SUVA254,Ageof14CO2_yrBP,Ageof14CH4_yrBP,Diff_CH4_mmolm2d,Eb_CH4_mmolm2d,Storf_CH4,IBSf_CH4,Total_CH4_mmolm2d,Diff_CO2_mmolm2d,Eb_CO2_mmolm2d,CO2_mmolm2d,N2O_mmolm2d,Lake_name,Hylak_id,WaterType,Region,Country,Cryozone,Ecozone,Latitude,Longitude,Elevation_m,Surface_area_km2,Depth_max_m,Depth_mean_m,Trophic_status,Icefree_days_peryr,MAT,MAP
15027,Julieta_ A27,Julieta_ A27,July,Summer,2009-2012,NA,NA,NA,14.3,NA,8.5,NA,3.4,NA,NA,NA,NA,21.428571428571427,0.11612903225806452,NA,53.25,NA,NA,NA,NA,NA,1.141826923076923,7.5,0.3831417624521073,0,7.391826923076923,59.00349650349651,0.027972027972027972,58.959790209790214,NA,Julieta_ A27,NA,TKL,Alaska,USA,C,Tundra,68.447,-149.369,901,0.051,7,NA,Ultraoligotrophic,104,-9.366666603833439,255
15027,Julieta_ A27,Julieta_ A27,October-May,Winter,2011-2012,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3113026819923372,NA,NA,NA,NA,0.002002786485545106,NA,NA,Julieta_ A27,NA,TKL,Alaska,USA,C,Tundra,68.447,-149.369,901,0.051,7,NA,Ultraoligotrophic,104,-9.366666603833439,255
15028,El Fuego_ A36,El Fuego_ A36,July,Summer,2009-2011,NA,NA,NA,15.7,NA,8.8,NA,1.2,NA,NA,NA,NA,28.571428571428573,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,0.5268199233716476,NA,8.713942307692308,NA,0.0395541958041958,0.043706293706293704,NA,El Fuego_ A36,NA,TKL,Alaska,USA,C,Tundra,67.666,-149.716,668,0.057,2.5,NA,Ultraoligotrophic,104,-6.691666523615518,274
15028,El Fuego_ A36,El Fuego_ A36,October-May,Winter,2011-2012,NA,NA,NA,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4789272030651341,NA,NA,NA,NA,0.0031347962382445136,NA,NA,El Fuego_ A36,NA,TKL,Alaska,USA,C,Tundra,67.666,-149.716,668,0.057,2.5,NA,Ultraoligotrophic,104,-6.691666523615518,274
15029,Jonas_ A26,Jonas_ A26,April,Winter,2011,NA,NA,NA,-0.2,NA,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3113026819923372,NA,NA,NA,NA,0.002002786485545106,NA,NA,Jonas_ A26,326498,TKL,Alaska,USA,C,Tundra,67.647,-149.722,621,0.17,4.2,5.6,Ultraoligotrophic,104,-6.600000023841865,285
15029,Jonas_ A26,Jonas_ A26,July,Summer,2009-2011,NA,NA,NA,14.2,NA,8.5,NA,1,NA,NA,NA,NA,50,0.2129032258064516,NA,66.75,NA,NA,NA,NA,NA,NA,7,0.33524904214559387,0.16762452107279693,6.25,NA,0.026660839160839157,0.021853146853146852,NA,Jonas_ A26,326498,TKL,Alaska,USA,C,Tundra,67.647,-149.722,621,0.17,4.2,5.6,Ultraoligotrophic,104,-6.600000023841865,285
15030,Augustine Zoli_ A25,Augustine Zoli_ A25,July,Summer,2009-2012,NA,NA,NA,17.3,NA,8.7,NA,10.1,NA,NA,NA,NA,64.28571428571429,0.3161290322580645,NA,331.5,NA,NA,NA,NA,NA,2.704326923076923,9.3,0.5507662835249041,NA,10.637019230769232,32.34265734265735,0.037587412587412584,32.45192307692308,NA,Augustine Zoli_ A25,NA,TKL,Alaska,USA,C,Tundra,67.138,-150.349,389,0.069,3,NA,Oligotrophic,104,-5.249999920527132,310
15030,Augustine Zoli_ A25,Augustine Zoli_ A25,October-May,Winter,2011-2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.407088122605364,NA,NA,NA,NA,0.0027864855451062345,NA,NA,Augustine Zoli_ A25,NA,TKL,Alaska,USA,C,Tundra,67.138,-150.349,389,0.069,3,NA,Oligotrophic,104,-5.249999920527132,310
15031,Ping_,Ping_,April,Winter,2011,NA,NA,NA,0.1,NA,5.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23946360153256704,NA,NA,NA,NA,0.0015673981191222568,NA,NA,Ping_,353645,TKL,Alaska,USA,C,Tundra,67.136,-150.37,347,0.102,1.4,5.1,Ultraoligotrophic,104,-5.174999912579856,309
15031,Ping_,Ping_,July,Summer,2011-2012,NA,NA,NA,18.5,NA,6.9,NA,22.4,NA,NA,NA,NA,64.28571428571429,NA,NA,928.5,NA,NA,NA,NA,NA,0.6009615384615385,5.1,0.23946360153256704,0.21551724137931033,5.408653846153846,7.43006993006993,0.02119755244755245,7.473776223776225,NA,Ping_,353645,TKL,Alaska,USA,C,Tundra,67.136,-150.37,347,0.102,1.4,5.1,Ultraoligotrophic,104,-5.174999912579856,309
